1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	56.811338	0.000000	0.083732	4.680399	20681.1
1	53.391657	0.000000	0.083732	4.211298	93.8
2	53.438318	0.000000	0.083732	4.079226	113.1
3	51.780010	0.000000	0.083732	3.977392	126.3
4	50.799944	0.000000	0.083732	3.700428	97.6
5	50.696104	0.000000	0.083732	3.548748	107.5
6	48.571155	0.000000	0.083732	3.488012	102.6
7	48.134891	0.000000	0.083732	3.112818	100.2
8	47.446780	0.000000	0.083732	2.945017	94.0
9	47.550451	0.000000	0.083732	2.776193	91.9
10	47.156564	0.000000	0.083732	2.673305	108.8
11	46.874681	0.000000	0.083732	2.852675	99.9
12	44.031309	0.000000	0.083732	2.530842	94.0
13	44.556104	0.000000	0.083732	2.778662	94.1
14	45.022831	0.000000	0.083732	2.490524	87.9
15	43.573156	0.000000	0.083732	2.450775	100.2
16	43.590488	0.000000	0.083732	2.511068	93.7
17	43.288037	0.000000	0.083732	2.472042	104.0
18	43.742063	0.000000	0.083732	2.542268	99.5
19	42.991057	0.000000	0.083732	2.285807	118.1
20	42.508833	0.000000	0.083732	2.159526	108.6
21	41.409384	0.000000	0.083732	2.113377	111.7
22	41.417804	0.000000	0.083732	1.886172	109.8
23	41.156440	0.000000	0.083732	1.897491	91.8
24	41.056651	0.000000	0.083732	2.061305	88.2
25	41.774716	0.000000	0.083732	1.835580	110.4
26	39.933109	0.000000	0.083732	1.565254	91.5
27	40.009158	0.000000	0.083732	1.726209	105.5
28	40.644000	0.000000	0.083732	1.536920	125.1
29	40.413773	0.000000	0.083732	1.571233	105.8
30	39.814574	0.000000	0.083732	1.391474	101.7
31	40.104732	0.000000	0.083732	1.460491	103.1
32	39.599967	0.000000	0.083732	1.458216	106.3
33	38.819587	0.000000	0.083732	1.302907	92.1
34	39.237960	0.000000	0.083732	1.413753	87.5
35	39.814489	0.000000	0.083732	1.385884	98.7
36	39.795336	0.000000	0.083732	1.454554	103.1
37	38.470315	0.000000	0.083732	1.283918	109.7
38	39.188881	0.000000	0.083732	1.329005	88.0
39	39.250128	0.000000	0.083732	1.380245	98.6
40	37.866147	0.000000	0.083732	1.309031	93.5
41	38.575935	0.000000	0.083732	1.310923	86.0
42	38.989507	0.000000	0.083732	1.526074	113.0
43	37.776701	0.000000	0.083732	1.230598	105.1
44	38.932652	0.000000	0.083732	1.313959	94.6
45	37.838797	0.000000	0.083732	1.217267	87.0
46	37.806392	0.000000	0.083732	1.279300	220.9
47	37.782720	0.000000	0.083732	1.236930	120.1
48	37.622706	0.000000	0.083732	1.275024	95.2
49	37.625828	0.000000	0.083732	1.273978	93.1
50	38.165910	0.000000	0.083732	1.394616	97.8
51	37.635545	0.000000	0.083732	1.311563	353.4
52	37.384186	0.000000	0.083732	1.324175	109.4
53	37.705627	0.000000	0.083732	1.207553	109.1
54	36.897608	0.000000	0.083732	1.173121	103.8
55	37.522003	0.000000	0.083732	1.161824	96.9
56	37.304816	0.000000	0.083732	1.203610	102.0
57	36.879953	0.000000	0.083732	1.320101	88.1
58	36.271046	0.000000	0.083732	1.091627	103.0
59	37.417592	0.000000	0.083732	1.183388	98.0
60	37.370370	0.000000	0.083732	1.084947	86.9
