1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
934	29.776169	66.962612	0.116104	0.126615	89.5
935	29.888247	66.948462	0.116123	0.128194	88.2
936	29.848664	66.907587	0.116177	0.135549	92.8
937	29.934756	66.907945	0.116176	0.105690	90.0
938	29.519141	66.882229	0.116210	0.123413	88.8
939	29.909632	66.855507	0.116245	0.132590	86.6
940	29.919047	66.840182	0.116266	0.120681	91.2
941	29.988373	66.820904	0.116291	0.125171	90.0
942	29.511504	66.844992	0.116259	0.123026	89.1
943	29.799639	66.834129	0.116274	0.117522	94.3
944	29.806339	66.833601	0.116274	0.117629	101.3
945	29.571016	66.849110	0.116254	0.124821	88.5
946	29.612371	66.812918	0.116302	0.124695	89.7
947	29.991800	66.831590	0.116277	0.134190	87.3
948	29.740809	66.845112	0.116259	0.112380	94.2
949	29.595230	66.830808	0.116278	0.116805	86.8
950	29.896789	66.858124	0.116242	0.124484	88.3
951	29.522113	66.872386	0.116223	0.124587	99.5
952	29.516461	66.851368	0.116251	0.117778	90.9
953	29.600306	66.968977	0.116095	0.125902	87.8
954	29.673797	67.024701	0.116022	0.133991	88.0
955	29.659502	67.027506	0.116018	0.118367	86.5
956	29.739930	67.153610	0.115852	0.113009	88.8
957	30.055821	67.174090	0.115825	0.128898	88.2
958	29.609614	67.348861	0.115596	0.122801	87.8
959	29.740052	67.602132	0.115266	0.129535	91.3
960	29.448301	67.849305	0.114945	0.138190	92.6
961	29.705384	67.987285	0.114767	0.123726	88.8
962	29.408726	67.990397	0.114763	0.116963	91.9
963	29.811513	68.046326	0.114691	0.100734	88.8
964	29.971644	68.064430	0.114668	0.119931	87.9
965	29.859262	68.101963	0.114619	0.115187	89.0
966	29.781104	68.224639	0.114462	0.136093	90.6
967	29.715069	68.200347	0.114493	0.109181	89.3
968	29.017613	68.258579	0.114418	0.108597	90.3
969	29.685744	68.249349	0.114430	0.115284	87.8
970	29.282860	68.268954	0.114405	0.111189	89.3
971	29.756041	68.433137	0.114195	0.130205	88.2
972	29.947321	68.408126	0.114227	0.123726	87.8
973	29.664704	68.461808	0.114158	0.113615	88.3
974	29.901760	68.624360	0.113951	0.118584	88.4
975	29.548751	68.611399	0.113968	0.138638	89.3
976	29.628312	68.665597	0.113899	0.108320	89.7
977	29.426107	68.852577	0.113662	0.109091	89.2
978	29.664593	68.833712	0.113686	0.115570	87.9
979	30.192945	68.820660	0.113702	0.133050	88.6
980	29.417924	68.849938	0.113665	0.114341	90.2
981	29.150133	68.864202	0.113647	0.116808	89.1
982	29.825486	68.836863	0.113682	0.122615	90.6
983	29.591873	68.936284	0.113556	0.132648	102.1
984	29.761864	69.069725	0.113388	0.118055	89.4
985	29.616714	69.234755	0.113180	0.096637	88.4
986	29.948595	69.241616	0.113172	0.130856	88.5
987	29.972226	69.244389	0.113168	0.112570	90.8
988	30.024417	69.237559	0.113177	0.125164	89.7
989	29.618635	69.309072	0.113087	0.125732	92.8
990	29.581302	69.377148	0.113002	0.120927	96.4
991	29.777075	69.371978	0.113008	0.121604	90.0
992	29.299030	69.378744	0.113000	0.126391	89.9
993	29.544744	69.581287	0.112747	0.119464	88.2
994	29.713431	69.546558	0.112791	0.100807	88.2
995	30.015054	69.515647	0.112829	0.114451	89.7
996	29.774814	69.485394	0.112867	0.125811	90.1
997	29.260748	69.453232	0.112907	0.122909	86.8
998	29.821091	69.470403	0.112886	0.120547	90.4
999	29.900068	69.442366	0.112921	0.133439	90.1
